"","firstname","count","taux_sm","taux_ab","taux_b","taux_tb","taux_fel"
"96","Abdelrahmane",2,0.5,0,0.5,0,0
"97","Abdelsalem",1,1,0,0,0,0
"98","Abdelsamad",1,1,0,0,0,0
"99","Abdelsamed",1,0,0,1,0,0
"100","Abdelwahid",2,0,0,1,0,0
"101","Abdenbaoui",1,0,0,0,1,0
"102","Abdennour",1,0,1,0,0,0
"103","Abdenour",2,0,1,0,0,0
"104","Abderahim",1,0,1,0,0,0
"105","Abderahmane",5,0.2,0.2,0.4,0,0.2
"106","Abderaouf",2,0,1,0,0,0
"107","Abderhaman",1,0,0,1,0,0
"108","Abderrahim",5,0.8,0,0,0.2,0
"109","Abderrahman",5,0.2,0,0.4,0.4,0
"110","Abderrahmane",14,0.428571428571429,0.428571428571429,0.142857142857143,0,0
"111","Abdessamad",1,0,1,0,0,0
"112","Abdessemeud",1,0,0,1,0,0
"113","Abdheramane",1,1,0,0,0,0
"114","Abdi",4,0.5,0.5,0,0,0
"115","Abdias",1,0,0,1,0,0
"116","Abdillah",1,0,0,1,0,0
"117","Abdnour",1,0,0,1,0,0
"118","Abdollah",2,1,0,0,0,0
"119","Abdou",9,0.222222222222222,0.444444444444444,0.111111111111111,0.111111111111111,0.111111111111111
"120","Abdoul",5,0.6,0.2,0.2,0,0
"121","Abdoul-Kerim",1,1,0,0,0,0
"122","Abdoulaye",10,0.7,0.2,0.1,0,0
"123","Abdoulla",2,0.5,0,0.5,0,0
"124","Abdoullah",6,0,0.166666666666667,0.5,0.333333333333333,0
"125","Abdoumalik",1,0,0,1,0,0
"126","Abdourrahmane",1,0,1,0,0,0
"127","Abdrahman",1,0,0,1,0,0
"128","Abdramane",1,0,0,1,0,0
"129","Abdul",6,0.666666666666667,0.166666666666667,0,0,0.166666666666667
"130","Abdul-Baki",1,0,0,1,0,0
"131","Abdul-Karim",1,0,1,0,0,0
"132","Abdul-Malik",1,1,0,0,0,0
"133","Abdul-Rahim",1,0,0,0,0,1
"134","Abdul-Rahmân",1,1,0,0,0,0
"135","Abdul-Samet",1,0,1,0,0,0
"136","Abdulkarem",1,1,0,0,0,0
"137","Abdulkarim",1,0,1,0,0,0
"138","Abdullah",5,0.4,0.4,0.2,0,0
"139","Abdulleh",2,0,1,0,0,0
"140","Abdulqadir",1,0,0,1,0,0
"141","Abdulrahman",3,0,0.666666666666667,0.333333333333333,0,0
"142","Abdérémani",1,1,0,0,0,0
"143","Abed",4,0.5,0.25,0.25,0,0
"144","Abeeb-Adisa",1,0,1,0,0,0
"145","Abeele",1,0,0,0,1,0
"146","Abel",66,0.0454545454545455,0.181818181818182,0.242424242424242,0.287878787878788,0.242424242424242
"147","Abelho",1,0,0,0,1,0
"148","Abella",1,0,1,0,0,0
"149","Abels",1,0,0,1,0,0
"150","Abessre",1,0,0,1,0,0
"151","Abfi",1,0,0,0,1,0
"152","Abhay",1,0,1,0,0,0
"153","Abi-Yaël",1,0,0,0,1,0
"154","Abicha",1,1,0,0,0,0
"155","Abid",2,1,0,0,0,0
"156","Abigael",14,0.214285714285714,0.142857142857143,0.142857142857143,0.357142857142857,0.142857142857143
"157","Abigaele",1,0,0,0,1,0
"158","Abigaell",1,0,1,0,0,0
"159","Abigaelle",4,0.5,0,0.5,0,0
"160","Abigail",20,0.1,0.1,0.25,0.3,0.25
"161","Abigayl",1,0,0,0,0,1
"162","Abigaël",30,0.0666666666666667,0.266666666666667,0.233333333333333,0.2,0.233333333333333
"163","Abigaëlle",23,0.0434782608695652,0.217391304347826,0.304347826086957,0.260869565217391,0.173913043478261
"164","Abigaïl",10,0,0.1,0.5,0.3,0.1
"165","Abigel",1,0,0,1,0,0
"166","Abigäil",1,1,0,0,0,0
"167","Abilaikhan",1,1,0,0,0,0
"168","Abinaia",1,0,1,0,0,0
"169","Abinesh",1,0,0,1,0,0
"170","Abir",3,0.333333333333333,0,0.333333333333333,0,0.333333333333333
"171","Abirami",1,0,0,0,0,1
"172","Abire",1,0,1,0,0,0
"173","Abischag",1,0,0,1,0,0
"174","Abla",1,0,1,0,0,0
"175","Aboghe",1,0,0,1,0,0
"176","Abomo",2,1,0,0,0,0
"177","Abongui",1,0,1,0,0,0
"178","Abou",2,0.5,0.5,0,0,0
"179","Abou-Sofiane",1,0,0,1,0,0
"180","Aboubacar",4,0,0.75,0.25,0,0
"181","Aboubackry",1,0,0,1,0,0
"182","Aboubakar",4,0.25,0.25,0.5,0,0
"183","Aboubakr",1,1,0,0,0,0
"184","Aboubakry",1,1,0,0,0,0
"185","Aboudieyedi",1,0,1,0,0,0
"186","Aboudou",1,0,0,1,0,0
"187","Aboudramane",1,1,0,0,0,0
"188","Aboudrar",1,1,0,0,0,0
"189","Abouem",1,1,0,0,0,0
"190","Abounoufa",1,0,0,1,0,0
"191","Abraar",1,0,0,1,0,0
"192","Abraham",2,0.5,0.5,0,0,0
"193","Abramowicz",1,0,0,0,0,1
"194","Abrantes",1,0,1,0,0,0
"195","Abrar",2,0.5,0,0,0,0.5
"196","Abreu",2,0.5,0,0.5,0,0
"197","Abrielle",1,1,0,0,0,0
"198","Abril",1,0,0,0,1,0
"199","Abrma",1,1,0,0,0,0
"200","Absa",1,0,0,0,0,1
"201","Absalon",1,1,0,0,0,0
"202","Absatou",2,0,0.5,0.5,0,0
"203","Abukar",1,1,0,0,0,0
"204","Aby",7,0.285714285714286,0.571428571428571,0,0,0.142857142857143
"205","Aby-Gaëlle",2,0,0.5,0,0.5,0
"206","Abygael",2,0,0.5,0.5,0,0
"207","Abygaelle",7,0.142857142857143,0.285714285714286,0.142857142857143,0.285714285714286,0.142857142857143
"208","Abygail",2,0,0,0.5,0,0.5
"209","Abygaël",11,0.181818181818182,0.272727272727273,0.363636363636364,0.181818181818182,0
"210","Abygaëlle",29,0.241379310344828,0.172413793103448,0.413793103448276,0.0689655172413793,0.103448275862069
"211","Abygaïl",2,0,0,0.5,0.5,0
"212","Abyssa",1,0,0,0,1,0
"213","Abélard",1,0,1,0,0,0
"214","Abélia",2,0,0,0.5,0.5,0
"215","Abéline",1,0,0,0,0,1
"216","Abû-Bakr",1,0,0,0,1,0
"217","Acacia",2,0,1,0,0,0
"218","Accardo",2,0,0,1,0,0
"219","Acelya",2,1,0,0,0,0
"220","Achad",1,0,0,1,0,0
"221","Achard",1,1,0,0,0,0
"222","Achchak",1,0,1,0,0,0
"223","Acheampong",1,0,0,0,1,0
"224","Acheraf",1,0,1,0,0,0
"225","Achile",7,0.285714285714286,0.285714285714286,0.428571428571429,0,0
"226","Achille",115,0.121739130434783,0.104347826086957,0.269565217391304,0.330434782608696,0.173913043478261
"227","Achilles",1,0,0,1,0,0
"228","Achkif",1,0,0,1,0,0
"229","Achour",1,0,0,1,0,0
"230","Achraf",9,0.333333333333333,0.222222222222222,0.333333333333333,0,0.111111111111111
"231","Achta",1,0,1,0,0,0
"232","Aciana",1,0,1,0,0,0
"233","Acil",1,0,0,0,0,1
"234","Acquarone",1,0,0,1,0,0
"235","Acyl",1,0,0,0,0,1
"236","Ada",2,0,0.5,0.5,0,0
"237","Adalaïs",1,0,0,0,0,1
"238","Adalia",1,0,0,1,0,0
"239","Adam",565,0.171681415929204,0.260176991150442,0.269026548672566,0.192920353982301,0.106194690265487
"240","Adam-Kamel",1,0,0,1,0,0
"241","Adam-Wadiae",1,0,0,1,0,0
"242","Adama",10,0.4,0.1,0.3,0.1,0.1
"243","Adame",14,0.357142857142857,0.142857142857143,0.428571428571429,0.0714285714285714,0
"244","Adamislam",1,0,0,1,0,0
"245","Adamo",1,1,0,0,0,0
"246","Adams",3,0.333333333333333,0.333333333333333,0,0.333333333333333,0
"247","Adan",13,0.230769230769231,0.0769230769230769,0.307692307692308,0.0769230769230769,0.307692307692308
"248","Adao",2,0.5,0.5,0,0,0
"249","Adayna",1,1,0,0,0,0
"250","Adda",1,0,0,1,0,0
"251","Adde",1,0,0,1,0,0
"252","Addison",1,1,0,0,0,0
"253","Addyson",1,0,0,0,1,0
"254","Adel",29,0.172413793103448,0.206896551724138,0.379310344827586,0.206896551724138,0.0344827586206897
"255","Adel-Saphir",1,1,0,0,0,0
"256","Adela",4,0.25,0,0.25,0.5,0
"257","Adelaide",4,0.25,0.25,0,0.25,0.25
"258","Adelais",1,0,0,0,0,1
"259","Adelajda",1,1,0,0,0,0
"260","Adelaïde",2,0,0,0.5,0.5,0
"261","Adele",26,0,0.153846153846154,0.230769230769231,0.5,0.115384615384615
"262","Adeleen",1,0,1,0,0,0
"263","Adeler",1,0,1,0,0,0
"264","Adelia",1,1,0,0,0,0
"265","Adelie",1,0,0,1,0,0
"266","Adelin",3,0,0.333333333333333,0,0.666666666666667,0
"267","Adelina",3,0,0.666666666666667,0,0.333333333333333,0
"268","Adeline",27,0.185185185185185,0.185185185185185,0.259259259259259,0.111111111111111,0.259259259259259
"269","Adelino",1,0,0,1,0,0
"270","Adelyn",1,1,0,0,0,0
"271","Adelyne",2,0,1,0,0,0
"272","Adelïa",1,0,0,0,1,0
"273","Adem",59,0.322033898305085,0.271186440677966,0.322033898305085,0.0508474576271186,0.0338983050847458
"274","Aden",3,0,0,0.333333333333333,0.333333333333333,0.333333333333333
"275","Adeï",1,0,0,0,1,0
"276","Adham",4,0,0.25,0.5,0.25,0
"277","Adhan",1,0,0,0,1,0
"278","Adhavan",1,0,1,0,0,0
"279","Adhémar",1,0,0,0,1,0
"280","Adi",1,0,1,0,0,0
"281","Adia",1,0,0,0,1,0
"282","Adib",2,0,0,1,0,0
"283","Adil",9,0.111111111111111,0.666666666666667,0,0.111111111111111,0.111111111111111
"284","Adina",4,0,0,0.25,0.75,0
"285","Adinga",1,0,1,0,0,0
"286","Adinolfi",1,0,0,0,1,0
"287","Adison",1,0,1,0,0,0
"288","Adissou",1,0,1,0,0,0
"289","Aditya",2,0,0,0.5,0.5,0
"290","Adja",4,0.5,0.25,0.25,0,0
"291","Adja-Fatou",1,0,1,0,0,0
"292","Adji",4,0.5,0.25,0,0,0.25
"293","Adjida",1,1,0,0,0,0
"294","Adjobi",1,0,1,0,0,0
"295","Adjoua",1,0,1,0,0,0
"296","Adlen",1,0,0,1,0,0
"297","Adlène",1,0,0,1,0,0
"298","Adnan",8,0,0.375,0.5,0,0.125
"299","Adnane",5,0.2,0.8,0,0,0
"300","Ado",1,0,0,0,1,0
"301","Adona",1,1,0,0,0,0
"302","Adonaï",1,1,0,0,0,0
"303","Adonia",2,0,0,1,0,0
"304","Adonis",17,0.117647058823529,0.294117647058824,0.411764705882353,0.117647058823529,0.0588235294117647
"305","Adonna",1,1,0,0,0,0
"306","Adonys",1,0,1,0,0,0
"307","Adoris",1,0,1,0,0,0
"308","Adraoui",1,1,0,0,0,0
"309","Adria",3,0.333333333333333,0,0,0,0.666666666666667
"310","Adrian",27,0.259259259259259,0.222222222222222,0.222222222222222,0.185185185185185,0.111111111111111
"311","Adriana",19,0.0526315789473684,0.315789473684211,0.210526315789474,0.368421052631579,0.0526315789473684
"312","Adriane",1,0,0,0,0,1
"313","Adriann",1,0,1,0,0,0
"314","Adrianna",4,0.25,0.25,0.5,0,0
"315","Adriano",13,0.230769230769231,0.153846153846154,0.384615384615385,0.230769230769231,0
"316","Adriel",2,0,0.5,0.5,0,0
"317","Adrien",387,0.0878552971576227,0.214470284237726,0.263565891472868,0.250645994832041,0.183462532299742
"318","Adrijan",1,1,0,0,0,0
"319","Adryan",1,1,0,0,0,0
"320","Adryana",2,0,0,1,0,0
"321","Adryen",1,0,0,1,0,0
"322","Adsshaya",1,0,0,0,0,1
"323","Adushna",1,0,0,1,0,0
"324","Adyson",2,0,0,1,0,0
"325","Adytia",1,1,0,0,0,0
"326","Adzou",1,0,0,1,0,0
"327","Adèla",1,0,0,0,0,1
"328","Adèle",233,0.0257510729613734,0.107296137339056,0.218884120171674,0.309012875536481,0.339055793991416
"329","Adèle-Ange",1,0,0,0,0,1
"330","Adèlie",1,0,0,0,1,0
"331","Adéa",1,0,0,0,1,0
"332","Adéla",2,0,0,1,0,0
"333","Adélaïde",25,0.08,0.28,0.32,0.16,0.16
"334","Adélaïs",3,0.333333333333333,0,0.333333333333333,0.333333333333333,0
"335","Adélia",5,0.2,0,0,0.2,0.6
"336","Adélie",19,0.105263157894737,0.157894736842105,0.105263157894737,0.263157894736842,0.368421052631579
"337","Adélien",1,0,0,1,0,0
"338","Adélise",2,0,0.5,0.5,0,0
"339","Adéna",1,0,1,0,0,0
"340","Aedan",5,0,0.2,0.2,0.4,0.2
"341","Aeden",1,0,0,0,1,0
"342","Ael",2,0,0,1,0,0
"343","Aela",3,0,0,0.333333333333333,0.666666666666667,0
"344","Aelia",1,0,1,0,0,0
"345","Aelig",2,0,0,0,0.5,0.5
"346","Aeline",1,0,0,0,0,1
"347","Aelis",3,0,0,0.333333333333333,0.666666666666667,0
"348","Aeliz",1,0,0,0,1,0
"349","Aelle",1,0,0,0,0,1
"350","Aelyn",1,0,0,0,0,1
"351","Aelys",4,0,0,0.25,0.75,0
"352","Aenaelle",1,0,0,1,0,0
"353","Aenaëlle",1,0,0,1,0,0
"354","Aere",1,1,0,0,0,0
"355","Aeris",2,0,0,1,0,0
"356","Aeron",1,0,1,0,0,0
"357","Afallah",1,0,0,1,0,0
"358","Aferdita",1,0,0,0,1,0
"359","Affeldt",1,0,0,1,0,0
"360","Afflard",1,0,1,0,0,0
"361","Afnane",1,0,0,0,1,0
"362","Afonso",6,0.333333333333333,0,0.666666666666667,0,0
"363","Afrani",1,1,0,0,0,0
"364","Afrej",1,0,0,1,0,0
"365","Afri",1,0,0,0,1,0
"366","Afrika",1,0,1,0,0,0
"367","Afénie",1,0,1,0,0,0
"368","Agan",1,0,1,0,0,0
"369","Agapito",1,0,0,0,1,0
"370","Agard",2,0,1,0,0,0
"371","Agasse",2,1,0,0,0,0
"372","Agate",7,0.142857142857143,0.571428571428571,0.285714285714286,0,0
"373","Agatha",3,0,0,0.333333333333333,0,0.666666666666667
"374","Agathe",411,0.0608272506082725,0.138686131386861,0.27007299270073,0.294403892944039,0.236009732360097
"375","Agha",1,0,0,1,0,0
"376","Aghasi",1,1,0,0,0,0
"377","Aghilas",2,0,0,1,0,0
"378","Aghiles",3,0,0,0.333333333333333,0,0.666666666666667
"379","Agier",1,0,0,0,1,0
"380","Aglahë",1,0,0,1,0,0
"381","Aglaor",2,0,0,1,0,0
"382","Aglaé",14,0.0714285714285714,0.285714285714286,0.357142857142857,0.214285714285714,0.0714285714285714
"383","Aglaée",1,0,0,0,1,0
"384","Aglaë",2,0,0.5,0.5,0,0
"385","Aglaëe",1,1,0,0,0,0
"386","Agnan",2,0,0.5,0,0.5,0
"387","Agnes",3,0,0,0,0.666666666666667,0.333333333333333
"388","Agnesa",1,1,0,0,0,0
"389","Agnese",1,0,0,0,0,1
"390","Agnès",16,0.25,0.1875,0.125,0.125,0.3125
"391","Agnés",1,0,0,1,0,0
"392","Ago",1,0,0,1,0,0
"393","Agoh",1,1,0,0,0,0
"394","Agorian",1,0,1,0,0,0
"395","Agostin",1,0,1,0,0,0
"396","Aguado",1,0,1,0,0,0
"397","Aguayo",1,0,0,0,1,0
"398","Aguiar",2,0.5,0,0.5,0,0
"399","Aguibou",1,0,0,0,0,1
"400","Aguila",2,0.5,0,0.5,0,0
"401","Aguilar",1,0,0,0,0,1
"402","Aguilera",1,0,1,0,0,0
"403","Agullana",1,0,1,0,0,0
"404","Agussol",1,0,0,0,1,0
"405","Ah-Hoan",1,0,0,1,0,0
"406","Ah-King",1,0,1,0,0,0
"407","Ahamada",3,0,0.333333333333333,0.666666666666667,0,0
"408","Ahamed",1,1,0,0,0,0
"409","Ahana",1,0,0,1,0,0
"410","Ahcene",2,0,1,0,0,0
"411","Ahery",1,0,1,0,0,0
"412","Ahilya",1,1,0,0,0,0
"413","Ahin",2,0,0,0,1,0
"414","Ahlakous",1,0,0,0,1,0
"415","Ahlam",3,0,1,0,0,0
"416","Ahlame",1,1,0,0,0,0
"417","Ahlem",5,0.4,0.2,0.2,0.2,0
"418","Ahlonkoba",1,0,1,0,0,0
"419","Ahmad",12,0.166666666666667,0.333333333333333,0.25,0.0833333333333333,0.166666666666667
"420","Ahmed",67,0.253731343283582,0.343283582089552,0.17910447761194,0.164179104477612,0.0597014925373134
"421","Ahmed-Amine",1,0,1,0,0,0
"422","Ahmed-Iyed",1,0,0,1,0,0
"423","Ahmed-Khalil",1,0,0,1,0,0
"424","Ahmed-Mounib",1,0,0,0,1,0
"425","Ahmed-Yamine",1,0,0,0,1,0
"426","Ahmet",9,0.444444444444444,0.222222222222222,0.222222222222222,0.111111111111111,0
"427","Ahmet-Emin",2,0,0,1,0,0
"428","Ahmiden",2,0,1,0,0,0
"429","Ahnaf",1,0,0,0,0,1
"430","Ahorie",1,0,0,0,1,0
"431","Ahorra",1,0,0,0,0,1
"432","Ahouandjinou",2,1,0,0,0,0
"433","Ahrouch",1,0,0,1,0,0
"434","Ahyna",1,0,0,1,0,0
"435","Ahynna",1,1,0,0,0,0
"436","Ahès",1,0,0,1,0,0
"437","Ahêli",1,0,0,0,0,1
"438","Aia",2,0,0,1,0,0
"439","Aicha",11,0.181818181818182,0.272727272727273,0.181818181818182,0.272727272727273,0.0909090909090909
"440","Aicha-Dounia",1,0,0,0,1,0
"441","Aichetou",1,0,0,1,0,0
"442","Aida",5,0,0.2,0.4,0.4,0
"443","Aidan",25,0,0.24,0.2,0.36,0.2
"444","Aidann",1,0,1,0,0,0
"445","Aiden",3,0,0,0.333333333333333,0.333333333333333,0.333333333333333
"446","Aideun",1,1,0,0,0,0
"447","Aihem",1,1,0,0,0,0
"448","Aikel",1,1,0,0,0,0
"449","Aiko",2,0,0,1,0,0
"450","Aiky",1,0,0,0,1,0
"451","Aileen",7,0,0.285714285714286,0.285714285714286,0.428571428571429,0
"452","Ailen",2,0,1,0,0,0
"453","Ailine",1,0,1,0,0,0
"454","Ailéan",1,0,0,0,1,0
"455","Aimad",2,1,0,0,0,0
"456","Aiman",4,0,0,0.75,0.25,0
"457","Aimane",3,0.666666666666667,0.333333333333333,0,0,0
"458","Aimbé",1,0,1,0,0,0
"459","Aime",2,0,1,0,0,0
"460","Aimeline",1,0,0,0,1,0
"461","Aimelyne",2,0.5,0,0.5,0,0
"462","Aimen",1,0,1,0,0,0
"463","Aimeric",6,0.166666666666667,0.166666666666667,0,0.5,0.166666666666667
"464","Aimerik",1,1,0,0,0,0
"465","Aimery",2,0,1,0,0,0
"466","Aimie",6,0,0.333333333333333,0.5,0.166666666666667,0
"467","Aimie-Rose",1,0,0,1,0,0
"468","Aimy",21,0.238095238095238,0.285714285714286,0.285714285714286,0.0952380952380952,0.0952380952380952
"469","Aimyléa",1,0,0,1,0,0
"470","Aimé",18,0.111111111111111,0.222222222222222,0.444444444444444,0.166666666666667,0.0555555555555556
"471","Aimée",8,0,0.25,0,0.5,0.25
"472","Aina",4,0,0,0.5,0.5,0
"473","Ainah",1,0,0,0,1,0
"474","Ainara",2,0,0,0,1,0
"475","Aines",1,0,0,0,1,0
"476","Ainesa",1,0,0,0,0,1
"477","Ainhoa",10,0,0.2,0.2,0.5,0.1
"478","Ainoa",2,0,0,1,0,0
"479","Ainoha",1,0,0,1,0,0
"480","Airault",1,0,0,0,1,0
"481","Airelle",1,0,0,0,0,1
"482","Aires",1,0,0,1,0,0
"483","Airosa",1,0,1,0,0,0
"484","Aisceline",1,0,0,0,1,0
"485","Aise",1,1,0,0,0,0
"486","Aishani",1,0,0,0,0,1
"487","Aislinn",1,0,1,0,0,0
"488","Aislynn",2,0,1,0,0,0
"489","Aissa",8,0.125,0.25,0.25,0.375,0
"490","Aissata",2,0,1,0,0,0
"491","Aissatou",3,0,0.666666666666667,0,0.333333333333333,0
"492","Aisse",2,0,0,1,0,0
"493","Aissia",3,0,0.666666666666667,0.333333333333333,0,0
"494","Ait",1,1,0,0,0,0
"495","Aiya",1,0,1,0,0,0
"496","Aiyana",5,0.2,0,0.4,0.4,0
"497","Aiyanah",2,0,0,0,1,0
"498","Aiyed",1,0,1,0,0,0
"499","Aizéa",1,0,0,0,1,0
"500","Ajamil",1,0,0,0,0,1
"501","Ajan",1,0,1,0,0,0
"502","Ajay-François",1,1,0,0,0,0
"503","Ajda",2,0,0,0,1,0
"504","Ajdid",1,1,0,0,0,0
"505","Ajdin",1,0,1,0,0,0
"506","Ajla",2,1,0,0,0,0
"507","Ajlin",1,0,0,1,0,0
"508","Ajlina",2,0.5,0.5,0,0,0
"509","Akai",1,0,1,0,0,0
"510","Akamse",1,0,0,1,0,0
"511","Akan",1,0,1,0,0,0
"512","Akane",1,0,0,0,0,1
"513","Akapo",2,0,0.5,0,0.5,0
"514","Akasha",1,0,1,0,0,0
"515","Akay",1,0,1,0,0,0
"516","Akhan-Paul",1,0,0,1,0,0
"517","Akhmad",1,0,1,0,0,0
"518","Akhmed",1,0,1,0,0,0
"519","Akhoun",1,0,0,0,1,0
"520","Akidine",1,0,0,1,0,0
"521","Akim",4,0.5,0.5,0,0,0
"522","Akimi",2,0.5,0,0,0.5,0
"523","Akin",2,0,1,0,0,0
"524","Akio",2,0.5,0,0,0,0.5
"525","Akira",1,0,0,1,0,0
"526","Akiridzo",1,1,0,0,0,0
"527","Akiva",1,1,0,0,0,0
"528","Aklin",1,0,0,0,1,0
"529","Akouete",1,0,0,1,0,0
"530","Akram",10,0.4,0.2,0.1,0,0.3
"531","Akrame",1,0,0,0,1,0
"532","Aksara",1,0,1,0,0,0
"533","Aksel",21,0.142857142857143,0.285714285714286,0.142857142857143,0.285714285714286,0.142857142857143
"534","Akshika",1,0,0,1,0,0
"535","Aksil",3,0,1,0,0,0
"536","Akther",1,0,1,0,0,0
"537","Aku",1,1,0,0,0,0
"538","Akémy",1,0,0,1,0,0
"539","Al",2,0.5,0.5,0,0,0
"540","Al-Had",1,0,1,0,0,0
"541","Al-Mansour",1,0,0,1,0,0
"542","Al-Qassam",1,0,1,0,0,0
"543","Ala",2,0,0,0.5,0.5,0
"544","Alaa",4,0.25,0.25,0.5,0,0
"545","Aladi",1,1,0,0,0,0
"546","Aladji",2,1,0,0,0,0
"547","Alado",1,0,0,1,0,0
"548","Alae",6,0.166666666666667,0.333333333333333,0.5,0,0
"549","Alahn",1,0,1,0,0,0
"550","Alaia",4,0,0.25,0.75,0,0
"551","Alain",10,0.1,0.6,0.1,0.1,0.1
"552","Alais",1,0,0,1,0,0
"553","Alal",1,0,0,0,0,1
"554","Alam",1,0,0,1,0,0
"555","Alan",81,0.209876543209877,0.296296296296296,0.234567901234568,0.185185185185185,0.0740740740740741
"556","Alana",32,0.15625,0.15625,0.21875,0.375,0.09375
"557","Alane",2,0.5,0,0,0.5,0
"558","Alanha",1,1,0,0,0,0
